layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1271,0.0974,0.5941,0.5399,0.3566,0.3958,1.8864,
"[32, 32, 32]",0.1254,0.0975,0.6101,0.5379,0.3929,0.428,1.9689,
"[32, 32, 32, 32]",0.1315,0.0986,0.6291,0.5569,0.4143,0.4382,2.0385,
"[32, 32, 32, 32, 32]",0.1285,0.0984,0.6174,0.5515,0.401,0.4485,2.0183,
"[64, 64]",0.1281,0.0978,0.5969,0.5386,0.299,0.3888,1.8233,
"[64, 64, 64]",0.1247,0.0957,0.6103,0.5462,0.4231,0.444,2.0236,
"[64, 64, 64, 64]",0.1161,0.0926,0.6372,0.5698,0.4369,0.4627,2.1067,MAX
"[64, 64, 64, 64, 64]",0.1217,0.0964,0.6203,0.5552,0.4248,0.4418,2.0422,
"[128, 128]",0.1248,0.097,0.6028,0.5377,0.3568,0.4055,1.9028,
"[128, 128, 128]",0.1178,0.0928,0.627,0.5687,0.413,0.4297,2.0385,
"[128, 128, 128, 128]",0.1213,0.0946,0.6245,0.5631,0.4296,0.4412,2.0584,
"[128, 128, 128, 128, 128]",0.1185,0.094,0.6283,0.5702,0.4252,0.4545,2.0781,
